C:\Users\alexa\Anaconda3\python.exe C:/Users/alexa/PycharmProjects/HaliteBots/evolver.py
Gen 0, 574 s, max_fitness = 0.26666666666666666 using: {'defensive_action_radius': 28.30257569937152, 'max_response': 8, 'safe_docking_distance': 12.558523744843272, 'job_base_benefit': 71.6, 'attacking_relative_benefit': 1.5, 'defending_relative_benefit': 1.385, 'central_planet_relative_benefit': 1.0, 'available_ships_for_rogue_mission_trigger': 13, 'zone_dominance_factor_for_docking': 4.200156937446249, 'safety_check_radius': 12.0, 'support_radius': 8.0, 'attack_superiority_ratio': 1.19, 'rush_mode_proximity': 82.0, 'general_approach_dist': 3.7, 'dogfighting_approach_dist': 3.7, 'planet_approach_dist': 3.8511061898179366, 'own_ship_approach_dist': 0.805601795838218, 'tether_dist': 1.375, 'padding': 0.1387334285094013, 'max_horizon': 12.0}
Gen 33, 3571 s, max_fitness = 0.7428571428571429 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.15133712922913, 'attacking_relative_benefit': 1.2592637143998302, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 0.9658630616122486, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.620490188434443, 'support_radius': 7.919875229201196, 'attack_superiority_ratio': 0.8654553122769234, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.03492468150561, 'dogfighting_approach_dist': 4.47868405700002, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.8992115271685757, 'tether_dist': 1.1328976603859422, 'padding': 0.1173576881959454, 'max_horizon': 8.018055902939173}
Gen 34, 2982 s, max_fitness = 0.7428571428571429 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.15133712922913, 'attacking_relative_benefit': 1.2592637143998302, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 0.9658630616122486, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.454592961224406, 'safety_check_radius': 12.620490188434443, 'support_radius': 7.919875229201196, 'attack_superiority_ratio': 0.8654553122769234, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.03492468150561, 'dogfighting_approach_dist': 4.47868405700002, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.8992115271685757, 'tether_dist': 1.1328976603859422, 'padding': 0.1173576881959454, 'max_horizon': 8.018055902939173}
Gen 35, 3706 s, max_fitness = 0.7714285714285715 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.2325970606472334, 'defending_relative_benefit': 1.248641506352455, 'central_planet_relative_benefit': 0.8926327212078141, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.898325843083396, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.5753041797606064, 'own_ship_approach_dist': 0.9609579999110277, 'tether_dist': 1.1328976603859422, 'padding': 0.12175292377736004, 'max_horizon': 8.238405766472612}
Gen 36, 3879 s, max_fitness = 0.7714285714285715 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.2325970606472334, 'defending_relative_benefit': 1.248641506352455, 'central_planet_relative_benefit': 0.8926327212078141, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.898325843083396, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.5753041797606064, 'own_ship_approach_dist': 0.9609579999110277, 'tether_dist': 1.1328976603859422, 'padding': 0.12175292377736004, 'max_horizon': 8.238405766472612}
Gen 37, 3887 s, max_fitness = 0.7714285714285715 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.2325970606472334, 'defending_relative_benefit': 1.248641506352455, 'central_planet_relative_benefit': 0.8926327212078141, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.898325843083396, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.5753041797606064, 'own_ship_approach_dist': 0.9609579999110277, 'tether_dist': 1.1328976603859422, 'padding': 0.12175292377736004, 'max_horizon': 8.238405766472612}
Gen 38, 4129 s, max_fitness = 0.7714285714285715 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.2325970606472334, 'defending_relative_benefit': 1.248641506352455, 'central_planet_relative_benefit': 0.8926327212078141, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.898325843083396, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.5753041797606064, 'own_ship_approach_dist': 0.9609579999110277, 'tether_dist': 1.1328976603859422, 'padding': 0.12175292377736004, 'max_horizon': 8.238405766472612}
Gen 39, 3951 s, max_fitness = 0.7714285714285715 using: {'defensive_action_radius': 27.205130783651594, 'max_response': 7, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.2325970606472334, 'defending_relative_benefit': 1.248641506352455, 'central_planet_relative_benefit': 0.8926327212078141, 'available_ships_for_rogue_mission_trigger': 12, 'zone_dominance_factor_for_docking': 5.898325843083396, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.5753041797606064, 'own_ship_approach_dist': 0.9609579999110277, 'tether_dist': 1.1328976603859422, 'padding': 0.12175292377736004, 'max_horizon': 8.238405766472612}
Gen 40, 3765 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 41, 3082 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 42, 4578 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 43, 3822 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 44, 3350 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 45, 4040 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 46, 3878 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 47, 3479 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 48, 2266 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 49, 3654 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 50, 3276 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 51, 3614 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 52, 4255 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 53, 3606 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 54, 3701 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 55, 3066 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 56, 3721 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 57, 3364 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 58, 4552 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 59, 4215 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 60, 2266 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 61, 3771 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 62, 3597 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
Gen 63, 3702 s, max_fitness = 0.8142857142857143 using: {'defensive_action_radius': 30.189406804098482, 'max_response': 9, 'safe_docking_distance': 13.262919132584583, 'job_base_benefit': 71.73509335719545, 'attacking_relative_benefit': 1.04114354576803, 'defending_relative_benefit': 1.4983358747809774, 'central_planet_relative_benefit': 1.1264648593329218, 'available_ships_for_rogue_mission_trigger': 11, 'zone_dominance_factor_for_docking': 5.762074128819193, 'safety_check_radius': 13.89285327188173, 'support_radius': 8.0, 'attack_superiority_ratio': 0.9555412594954386, 'rush_mode_proximity': 94.09576212418199, 'general_approach_dist': 3.034795041716468, 'dogfighting_approach_dist': 4.107098036408979, 'planet_approach_dist': 2.626409095565173, 'own_ship_approach_dist': 0.9069865875327943, 'tether_dist': 1.1328976603859422, 'padding': 0.116521697542258, 'max_horizon': 8.238405766472612}
